ts,dir,is_up,edge,dist,t_rem,trend_proxy,trend_aligned,trend_rec,ask,won,pnl,risk,kind
1782285668.3,dn,0,0.128,1.433,231.7,-0.2,0.2,,0.69,1,2.266,5.414,5m
1782288090.2,up,1,0.122,0.586,209.8,0.185,0.185,,0.53,1,4.594,5.556,5m
1782294745.5,up,1,0.114,0.714,154.5,0.255,0.255,,0.56,1,4.101,5.599,5m
1782336566.8,up,1,0.137,1.144,33.2,0.347,0.347,,0.63,1,3.077,5.623,5m
1782343143.4,dn,0,0.105,0.443,56.6,-0.892,0.892,,0.5,1,4.825,5.175,5m
1782346137.2,dn,0,0.119,1.377,62.8,-0.663,0.663,,0.6962,1,2.075,5.105,5m
1782347261.8,dn,0,0.112,1.166,138.2,0.215,-0.215,,0.66,1,2.763,5.757,5m
1782348566.5,dn,0,0.105,1.964,33.5,1.042,-1.042,,0.76,0,-5.085,5.085,5m
1782351230.8,dn,0,0.121,0.507,69.2,-0.198,0.198,,0.51,1,5.216,5.824,5m
1782352743.9,dn,0,0.103,2.054,56.1,-0.198,0.198,,0.78,1,1.502,5.718,5m
1782353045.9,up,1,0.122,1.455,54.1,-0.305,-0.305,,0.69,0,-5.738,5.738,5m
1782353943.5,up,1,0.101,1.829,56.5,1.204,1.204,,0.77,1,1.573,5.657,5m
1782354042.2,up,1,0.103,0.437,257.8,0.977,0.977,,0.52,0,-5.81,5.81,5m
1782354405.2,up,1,0.104,0.755,194.8,0.431,0.431,,0.58,1,3.913,5.797,5m
1782355030.0,up,1,0.103,0.883,170.0,0.248,0.248,,0.61,1,3.427,5.753,5m
1782355777.0,up,1,0.119,0.612,23.0,-0.67,-0.67,,0.52,0,-5.869,5.869,5m
1782355905.1,dn,0,0.107,0.855,194.9,-0.397,0.397,,0.6,0,-5.81,5.81,5m
1782356239.4,dn,0,0.108,0.692,160.6,-0.306,0.306,,0.56,0,-5.744,5.744,5m
1782356853.5,dn,0,0.105,0.444,146.5,0.269,-0.269,,0.49,0,-5.623,5.623,5m
1782358345.4,up,1,0.103,0.67,154.6,0.058,0.058,,0.56,1,3.775,5.155,5m
1782358577.5,dn,0,0.155,1.419,222.5,-0.719,0.719,,0.66,1,2.601,5.419,5m
1782358953.3,up,1,0.104,0.798,146.7,0.199,0.199,,0.59,0,-4.764,4.764,5m
1782359640.7,up,1,0.107,2.223,59.3,0.39,0.39,,0.8,1,1.25,5.37,5m
1782360130.1,up,1,0.119,1.05,169.9,-0.098,-0.098,,0.63,0,-5.132,5.132,5m
1782360333.0,dn,0,0.103,0.511,267.0,-0.175,0.175,,0.52,1,4.45,5.17,5m
1782361056.9,dn,0,0.101,1.269,143.1,-0.449,0.449,,0.68,0,-5.604,5.604,5m
1782369354.4,dn,0,0.109,0.737,245.6,-0.421,0.421,,0.57,0,-5.596,5.596,5m
1782369857.7,dn,0,0.121,0.504,42.3,0.154,-0.154,,0.5,0,-5.568,5.568,5m
1782370014.7,dn,0,0.108,0.73,185.3,-0.251,0.251,,0.5763,0,-5.151,5.151,5m
1782370281.4,up,1,0.103,0.552,218.6,0.26,0.26,,0.53,1,4.489,5.431,5m
1782371000.0,dn,0,0.125,0.985,100.0,-0.684,0.684,,0.61,0,-5.283,5.283,5m
1782371298.7,dn,0,0.1,1.32,101.3,-0.336,0.336,,0.7,0,-5.139,5.139,5m
1782371571.1,dn,0,0.1,0.501,128.9,0.02,-0.02,,0.52,1,4.45,5.17,5m
1782372058.6,dn,0,0.151,0.623,241.4,0.012,-0.012,,0.5,1,4.825,5.175,5m
1782372367.7,dn,0,0.122,0.585,232.3,-0.098,0.098,,0.54,1,4.156,5.234,5m
1782372641.8,up,1,0.112,0.585,258.2,0.346,0.346,,0.53,1,4.39,5.31,5m
1782372992.9,up,1,0.1,0.541,207.1,0.313,0.313,,0.52,1,4.45,5.17,5m
1782374030.3,up,1,0.102,0.876,69.7,0.457,0.457,,0.61,1,3.256,5.464,5m
1782374159.7,dn,0,0.102,0.549,240.3,-0.147,0.147,,0.53,0,-5.507,5.507,5m
1782377621.1,dn,0,0.11,0.5,78.9,-0.256,0.256,-0.508,0.51,1,5.051,5.639,5m
1782378235.0,dn,0,0.1,0.579,65.0,-0.136,0.136,0.628,0.54,0,-5.697,5.697,5m
1782378844.5,up,1,0.132,0.588,55.5,-0.509,-0.509,-1.369,0.48,0,-5.636,5.636,5m
1782379156.8,dn,0,0.129,1.262,43.2,-0.269,0.269,-0.61,0.66,1,2.458,5.122,5m
1782427165.1,dn,0,0.127,1.249,34.9,-1.075,1.075,-1.208,0.66,0,-5.122,5.122,5m
1782431956.3,dn,0,0.117,1.139,43.7,-0.176,0.176,0.0,0.65,1,1.948,3.882,5m
1782434948.9,dn,0,0.127,0.949,51.1,-0.151,0.151,-0.365,0.6,1,3.342,5.378,5m
1782437929.4,up,1,0.113,0.709,70.6,0.441,0.441,0.169,0.53,1,4.517,5.463,5m
